filename,width,height,class,xmin,ymin,xmax,ymax,xmin_rel,xmax_rel,ymin_rel,ymax_rel
20180216_15_1_fw_3000_dc2.png,4096,650,foreign material,866,189,1651,259,0.21142578125,0.403076171875,0.2907692307692308,0.3984615384615385
20180216_15_1_fw_3000_dc2.png,4096,650,foreign material,549,312,1437,372,0.134033203125,0.350830078125,0.48,0.5723076923076923
20180216_15_1_fw_3000_dc2.png,4096,650,foreign material,1684,392,2179,466,0.4111328125,0.531982421875,0.6030769230769231,0.7169230769230769
20180216_15_1_fw_3000_dc2.png,4096,650,foreign material,2034,121,2786,166,0.49658203125,0.68017578125,0.18615384615384614,0.2553846153846154
20180216_15_1_fw_3000_dc2.png,4096,650,foreign material,1992,307,3001,386,0.486328125,0.732666015625,0.4723076923076923,0.5938461538461538
20180216_15_1_fw_3000_dc2.png,4096,650,foreign material,1939,509,3366,614,0.473388671875,0.82177734375,0.7830769230769231,0.9446153846153846
20180216_15_1_fw_3000_dc2.png,4096,650,foreign material,2722,204,3417,284,0.66455078125,0.834228515625,0.31384615384615383,0.4369230769230769
20180216_15_1_fw_3000_dc2.png,4096,650,foreign material,3327,291,4086,346,0.812255859375,0.99755859375,0.44769230769230767,0.5323076923076923
20180216_15_1_fw_3000_dc2.png,4096,650,foreign material,3097,387,3672,474,0.756103515625,0.896484375,0.5953846153846154,0.7292307692307692
20180216_15_1_fw_3000_dc2.png,4096,650,foreign material,786,439,1354,559,0.19189453125,0.33056640625,0.6753846153846154,0.86
20180216_16_1_fw_3000_dc2.png,4096,450,foreign material,1587,132,2626,192,0.387451171875,0.64111328125,0.29333333333333333,0.4266666666666667
20180216_17_1_fw_3000_dc2.png,4096,450,foreign material,1003,168,1861,233,0.244873046875,0.454345703125,0.37333333333333335,0.5177777777777778
20180216_17_1_fw_3000_dc2.png,4096,450,foreign material,2494,236,3557,293,0.60888671875,0.868408203125,0.5244444444444445,0.6511111111111111
20180216_18_1_fw_3000_dc2.png,4096,450,foreign material,408,108,1290,164,0.099609375,0.31494140625,0.24,0.36444444444444446
20180216_18_1_fw_3000_dc2.png,4096,450,foreign material,296,226,1064,286,0.072265625,0.259765625,0.5022222222222222,0.6355555555555555
20180216_18_1_fw_3000_dc2.png,4096,450,foreign material,694,340,1688,390,0.16943359375,0.412109375,0.7555555555555555,0.8666666666666667
20180216_18_1_fw_3000_dc2.png,4096,450,foreign material,1788,64,3300,110,0.4365234375,0.8056640625,0.14222222222222222,0.24444444444444444
20180216_18_1_fw_3000_dc2.png,4096,450,foreign material,1716,186,2660,236,0.4189453125,0.6494140625,0.41333333333333333,0.5244444444444445
20180216_18_1_fw_3000_dc2.png,4096,450,foreign material,1924,280,2680,320,0.4697265625,0.654296875,0.6222222222222222,0.7111111111111111
20180216_18_1_fw_3000_dc2.png,4096,450,foreign material,2984,346,3846,398,0.728515625,0.93896484375,0.7688888888888888,0.8844444444444445
20180216_18_1_fw_3000_dc2.png,4096,450,foreign material,3176,248,3888,292,0.775390625,0.94921875,0.5511111111111111,0.6488888888888888
20180216_18_1_fw_3000_dc2.png,4096,450,foreign material,3009,138,4096,190,0.734619140625,1.0,0.30666666666666664,0.4222222222222222
20180216_1_fw_3000_dc2.png,4096,450,wrinkle,41,66,266,117,0.010009765625,0.06494140625,0.14666666666666667,0.26
20180216_1_fw_3000_dc2.png,4096,450,wrinkle,109,146,337,214,0.026611328125,0.082275390625,0.3244444444444444,0.47555555555555556
20180216_1_fw_3000_dc2.png,4096,450,wrinkle,126,256,427,301,0.03076171875,0.104248046875,0.5688888888888889,0.6688888888888889
20180216_1_fw_3000_dc2.png,4096,450,wrinkle,61,344,421,404,0.014892578125,0.102783203125,0.7644444444444445,0.8977777777777778
20180216_1_fw_3000_dc2.png,4096,450,wrinkle,702,119,999,164,0.17138671875,0.243896484375,0.2644444444444444,0.36444444444444446
20180216_1_fw_3000_dc2.png,4096,450,wrinkle,679,219,1002,264,0.165771484375,0.24462890625,0.4866666666666667,0.5866666666666667
20180216_1_fw_3000_dc2.png,4096,450,wrinkle,709,309,1046,352,0.173095703125,0.25537109375,0.6866666666666666,0.7822222222222223
20180216_1_fw_3000_dc2.png,4096,450,wrinkle,1114,54,1451,91,0.27197265625,0.354248046875,0.12,0.20222222222222222
20180216_1_fw_3000_dc2.png,4096,450,wrinkle,1279,159,1604,207,0.312255859375,0.3916015625,0.35333333333333333,0.46
